ID,Company.Name,Subsidiary.Name,Search,Share,Company.Type,Source,Notes,Country.of.Headquarters,Rystad.Upstream.Industry.Segment,Type.of.Subsidiary,Hydrocarbons.Production.in.2022..Oil..Gas..Condensate..NGL.,Production.Countries,Fracking,Tar.Sands,Coalbed.Methane,Extra.Heavy.Oil,Ultra.Deepwater,Arctic,Unconventional.Production,Resources.under.Development.and.Field.Evaluation.as.of.September.2023,Expansion.Countries,Unconventional.Expansion,X1.5�.C.Expansion.Overshoot.based.on.IEA.NZE..2021.2022.,Exploration.CAPEX.3.year.average..2021.2023.,Exploration.Countries,Fossil.Fuel.Share.of.Revenue,Data.Description,Reporting.Year,Project.Names,Project.Risks,Project.Descriptions,Remarks,GOGEL.ID,Upstream.Row.ID,RIC
706,Mitsubishi Corporation,Ppa Borssele BV,Borssele,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Mitsubishi Corporation,Nordgroeoen Energie GmbH,Nordgroeoen,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Mitsubishi Corporation,Windpark Nieuwe Waterweg BV,Nieuwe,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Mitsubishi Corporation,Wp Hzp BV,Wp Hzp BV,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Mitsubishi Corporation,BioEnergieCentrale Delfzijl BV,BioEnergieCentrale,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Mitsubishi Corporation,Warmtebedrijf Eneco Delft BV,Warmtebedrijf,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Mitsubishi Corporation,Spontanae BV,Spontanae,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Mitsubishi Corporation,Solano Wind,Solano,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,Mitsubishi Corporation,Newcastle Wind,Newcastle,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Mitsubishi Corporation,Libeccio I,Libeccio,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Mitsubishi Corporation,Les Vents De Perwez,Les Vents,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,Mitsubishi Corporation,Sirocco Wind,Sirocco,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,Mitsubishi Corporation,LichtBlick SE,LichtBlick,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,Mitsubishi Corporation,Solargruen GmbH,Solarguen,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Mitsubishi Corporation,Nordland Energie GmbH,Nordland,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Mitsubishi Corporation,Solaerco Antwerpen,Solaerco,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,Mitsubishi Corporation,Wonderlaand 1 BV,Wonderlaand,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,Mitsubishi Corporation,Tullo Wind Farm Ltd,Tullo,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,Mitsubishi Corporation,Oxxio Nederland BV,Oxxio,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,Mitsubishi Corporation,Iron Wire Works Indonesia PT,Iron Wire Works,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Mitsubishi Corporation,Aoi Kohan Co Ltd,Aoi,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,Mitsubishi Corporation,Diamond Generating Corp,Diamond,1,Subsidiary,Refinitiv; https://www.dgc-us.com/dgcgroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,Mitsubishi Corporation,Wildflower Energy LP,Wildflower,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,Mitsubishi Corporation,Mariposa Energy LLC,Mariposa,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,Mitsubishi Corporation,New England Aqua Ventus,New England Aqua Ventus,NA,Subsidiary,https://www.dowind.com/project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,Mitsui & Co Ltd,SymEnergy Inc,SymEnergy,0.205,Subsidiary,Refinitiv; https://symenergy-co-jp.translate.goog/company/?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,Mitsui & Co Ltd,Forsee Power SA,Forsee,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,Mitsui & Co Ltd,Omuta Miikeko Solar Park KK,Omuta,0.5,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Mitsui & Co Ltd,Nova Empire PCL,Nova Empire,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Mitsui & Co Ltd,IPM Eagle LLP,IPM,0.3,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,Mitsui & Co Ltd,Paiton Energy PT,Paiton,0.455,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,Mitsui & Co Ltd,EBES Sistemas de Energia SA,EBES,0.17,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Mitsui & Co Ltd,Lhyfe SA,Lhyfe,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,Mitsui & Co Ltd,Retig Ltd,Retig,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,Mitsui & Co Ltd,Tonik Energy Ltd,Tonik,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,Mitsui & Co Ltd,Mypower Corp,Mypower,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,Mitsui & Co Ltd,Solstice Power Technologies LLC,Solstice,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Mitsui & Co Ltd,Central Anahuac SA de CV,Anahuac,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,Mitsui & Co Ltd,Engie ANZ,Engie ANZ,0.07,Subsidiary,https://www.infrastructureinvestor.com/engie-and-mitsui-seek-partner-for-new-australian-renewables-platform/; https://engie.com.au/sites/default/files/2021-05/Media-Release-ENGIE-Australian-Renewable-Energy-Trust-13102020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,Mubadala Petroleum LLC (Mubadala Energy),Masdar Mubadala,Masdar,0.33,Subsidiary,https://www.taqa.com/press-releases/taqa-adnoc-and-mubadala-complete-landmark-transaction-for-stake-in-masdar-clean-energy-powerhouse/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Mubadala Petroleum LLC (Mubadala Energy),GEK Terna Mubadala,Terna,0.22,Acquisition,https://masdar.ae/en/news/newsroom/uae-renewables-champion-to-acquire-greeces-terna-energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,Mubadala Petroleum LLC (Mubadala Energy),Terra-Gen Mubadala,Terra-Gen,0.17,Acquisition,https://masdar.ae/en/news/newsroom/masdar-to-acquire-50-percent-stake-in-terra-gen-from-energy-capital-partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Mubadala Petroleum LLC (Mubadala Energy),Hero Future Energies Mubadala,Hero Future Energies(Hero Group),0.07,Acquisition,https://www.livemint.com/companies/news/uae-s-masdar-invests-150-million-in-hero-future-energies-11573459881128.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Mubadala Petroleum LLC (Mubadala Energy),Lekela Power Mubadala,Lekela,0.17,Acquisition,https://masdar.ae/en/news/newsroom/infinity-power-finalizes-acquisition-of-lekela-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,Mubadala Petroleum LLC (Mubadala Energy),Infinity Power Mubadala,Infinity Power,0.17,Subsidiary,https://weareinfinitypower.com/en/Founding-Companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Mubadala Petroleum LLC (Mubadala Energy),Jordan Wind Project Company Mubadala,Jordan Wind Project Company,0.1,Subsidiary,https://masdar.ae/en/news/newsroom/financial-close-reached-to-build-the-first-utility-scale-wind-farm-in-jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,NJSC Naftogaz of Ukraine,KHERSONS'KA TETs PAT,Kherson,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,Origin Energy Ltd,Wind Power Pty Ltd,Wind Power Pty Ltd,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Origin Energy Ltd,Acumen Metering Pty Ltd,Acumen,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Origin Energy Ltd,Winconnect Pty Ltd,Winconnect,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Origin Energy Ltd,OE Power Pty Ltd,OE Power Pty Ltd,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,Origin Energy Ltd,Sun Retail Pty Ltd,Sun Retail,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,Origin Energy Ltd,Cogent Energy Pty Ltd,Cogent,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,Origin Energy Ltd,Walchaenergy Pty Ltd,Walchaenergy,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,Osaka Gas Co Ltd (Daigas Group),Senboku Natural Gas Powar Generation Co Ltd,Senboku,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Osaka Gas Co Ltd (Daigas Group),Nakayama Kyodo Power Co Ltd,Nakayama,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,Osaka Gas Co Ltd (Daigas Group),Shiribetsu Wind Development KK,Shriribetsu,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Osaka Gas Co Ltd (Daigas Group),"HIZEN WIND POWER GENERATION CO., LTD.",Hizen,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Osaka Gas Co Ltd (Daigas Group),Gas And Power Co Ltd,Gas And Power Co Ltd,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,Osaka Gas Co Ltd (Daigas Group),Nakayama Nagoya Joint Power Generation Co Ltd,Nakayama Nagoya,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,Osaka Gas Co Ltd (Daigas Group),Hirao Wind Development Co Ltd,Hirao,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Osaka Gas Co Ltd (Daigas Group),Yura Wind Development Co Ltd,Yura,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Osaka Gas Co Ltd (Daigas Group),D&D Solar GK,D&D Solar,NA,Subsidiary,Refinitiv; https://www.osakagas.co.jp/en/whatsnew/__icsFiles/afieldfile/2020/12/23/20201217_2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Osaka Gas Co Ltd (Daigas Group),Himeji Natural Gas Power Generation CoLTD,Himeji,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,Pampa Energia SA,Albares Renovables Argentina SA en Formacion,Albares,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,Pampa Energia SA,Greenwind SA,Greenwind,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,Pampa Energia SA,Powerco SA,Powerco,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,Pampa Energia SA,Vientos de Arauco Renovables SAU,Arauco,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,Pampa Energia SA,IEASA SA,IEASA,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Pampa Energia SA,Pampa Inversiones SA,Pampa Inversiones,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,Pampa Energia SA,Inversora Ingentis SA,Ingentis,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,Petroleo Brasileiro SA – Petrobras,UEG Araucaria Ltda,Araucaria,0.2,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,Petroleo Brasileiro SA – Petrobras,Brentech Energia SA,Brentech,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,Petroleo Brasileiro SA – Petrobras,Termobahia SA,Termobahia,0.99,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Petroleo Brasileiro SA – Petrobras,Brasympe Energia SA,Brasympe,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,Petroleo Brasileiro SA – Petrobras,Baixada Santista Energia SA,Baixada,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,Petroleo Brasileiro SA – Petrobras,Energetica Suape II SA,Suape,0.2,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,Petroleo Brasileiro SA – Petrobras,Termomacae Ltda,Termomacae,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,Petroliam Nasional Bhd (Petronas),Solbridge Energy Pvt Ltd,Solbridge,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,Petroliam Nasional Bhd (Petronas),Onevolt Energy Pvt Ltd,Onevolt,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,Petroliam Nasional Bhd (Petronas),Nay Energy Pvt Ltd,Nay,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,Petroliam Nasional Bhd (Petronas),Sunroot Energy Pvt Ltd,Sunroot,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,Petroliam Nasional Bhd (Petronas),Ananth Solar Power Maharashtra Pvt Ltd,Ananth,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,Petroliam Nasional Bhd (Petronas),Pengerang Power Sdn Bhd,Pengerang,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,Petroliam Nasional Bhd (Petronas),NE Suria Satu Sdn Bhd,Suria Satu,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,PJSC Gazprom,TGC-1,TGC-1,0.52,Subsidiary,https://www.tgc1.ru/en/company/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,PJSC Gazprom,Sefe,Sefe,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,PJSC Gazprom,TEK-Energo,TEK-Energo,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,PJSC Gazprom,Mosgorenergo,Mosgorenergo,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,PJSC Gazprom,CRMZ,CRMZ,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,PJSC Gazprom,TGK,TGK,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,PJSC Gazprom,Murmanskaya,Murmanskaya,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,PJSC Gazprom,Vtoraya,Vtoraya,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,PJSC Gazprom,Svobodnenskaya,Svobodnenskaya,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,PJSC Gazprom,Teploinvest,Teploinvest,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,PJSC Gazprom,Gelendzhikteploenergo,Gelendzhikteploenergo,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,PJSC Gazprom,Armavirteploenergo,Armavirteploenergo,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,PJSC Gazprom,Mosenergo,Mosenergo,0.5,Subsidiary,Refinitiv; https://en.wikipedia.org/wiki/List_of_Gazprom_subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,PJSC Rosneft Oil Company,Okhinskaya,Okhinskaya,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,PJSC Rosneft Oil Company,NGT-Energiya,NGT-Energiya,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,PJSC Tatneft,Setevaya Kompaniya AO,Setevaya,0.04,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,PT Medco Daya Abadi Lestari,Sarulla Operations LTD Medco,Sarulla,0.19,Subsidiary,https://www.thinkgeoenergy.com/first-110-mw-unit-of-sarulla-geothermal-plant-starts-operation/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,PT Medco Daya Abadi Lestari,Mitra Energi Batam PT,Mitra,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,PT Medco Daya Abadi Lestari,Dalle Energy Batam PT,Dalle,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,PT Medco Daya Abadi Lestari,Multidaya Prima Elektrindo PT,Multidaya,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,PT Medco Daya Abadi Lestari,Pembangkitan Pusaka Parahiangan PT,Pembangkitan Pusaka Parahiangan,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,PT Medco Daya Abadi Lestari,Universal Batam Energy PT,Universal Batam,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,PT Medco Daya Abadi Lestari,Energi Listrik Batam PT,Listrik,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,QatarEnergy,Ras Laffan,Ras Laffan,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,QatarEnergy,Mesaieed,Mesaieed,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,QatarEnergy,Qatar Electricity (QEWC),Qatar Electricity (QEWC),NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,QatarEnergy,Ras Girtas,Ras Girtas,"0,15",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,QatarEnergy,Siraj Energy,Siraj,0.4,Subsidiary,https://www.qewc.com/qewc/en/portfolio-item/siraj-solar-energy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,Reliance Industries Ltd,Jamnagar Utilities & Power Pvt Ltd,Jamnagar,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,Reliance Industries Ltd,Den Premium Multilink Cable Network Pvt Ltd,Multilink,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,Reliance Industries Ltd,Addverb Technologies Ltd,Addverb,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,Reliance Industries Ltd,REC Americas LLC,REC Americas,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,Reliance Industries Ltd,A123 Systems (China) Materials Co Ltd,A123,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,Reliance Industries Ltd,Rec Solar Holdings AS,Rec Solar,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,Reliance Industries Ltd,Faradion Ltd,Faradion,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,Repsol SA,Inch Cape Offshore Ltd,Inch Cape,0.51,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,Repsol SA,Asterion Energies SL,Asterion,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,Repsol SA,Gaolania Servicios SL,Gaolania,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,Repsol SA,Ibil Gestor de Carga de Vehiculo Electrico SA,Ibil,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,Shaanxi Yanchang Petroleum (Group) Co Ltd,Shenmu Xinyuan Multipurpose Utilization Power Generation Co Ltd,Shenmu Xinyuan Multipurpose,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,Shell plc,Sonnen,Sonnen,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,Shell plc,Pulse,Pulse,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,Shell plc,NoordzeeWind,NoordzeeWind,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,Shell plc,Inspire,Inspire,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,Shell plc,CSE23,CSE23,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,Shell plc,Limejump,Limejump,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,Shell plc,Munmu Baram,Munmu Baram,"0,8",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,Shell plc,First Utility,First Utility,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,Shell plc,Marrramwind,Marrramwind,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,Shell plc,Mid-Atlantic Offshore,Mid-Atlantic Offshore,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,Shell plc,SouthCoast,SouthCoast,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,Shell plc,Husk,Husk,"0,3",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,Shell plc,Newgen,Newgen,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,Shell plc,Madison Fields,Madison Fields,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,Shell plc,Marlim,Marlim,"0,3",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,Shell plc,Crosswind,Crosswind,"0,8",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,Shell plc,Top Deer,Top Deer,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,Shell plc,NedPower,NedPower,"0,5",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,Shell plc,Baconton,Baconton,"0,35",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Shell plc,Elios,Elios,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,Shell plc,Orb,Orb,"0,24",Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,Sinochem Group Co Ltd,Zhonghua Oil Henan Co Ltd,Zhonghua,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,Sinochem Group Co Ltd,Corrie Maccoll Malaysia Sdn Bhd,Corrie Maccoll,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,SK Innovation Co Ltd,Ulsan Aromatics Co Ltd,Ulsan Aromatics,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,SK Innovation Co Ltd,SK Battery Manufacturing Kft,SK Battery,1,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,SK Innovation Co Ltd,Korea LNG Ltd,Korea LNG,0.16,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,SK Innovation Co Ltd,SK IE Technology Co Ltd,SK IE,0.61,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,SK Innovation Co Ltd,Precursor Energetics Inc,Precursor,0.14,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,SK Innovation Co Ltd,HelioVolt Corp,HelioVolt,0.24,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,Sonatrach SpA,Shariket,Shariket,0.5,Subsidiary,Refinitiv; https://www.africa-energy.com/news-centre/article/ge-iberdrola-build-koudiet-eddraouch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Sonatrach SpA,Societe Algerienne de Realisation de Projets Industriels (SARPI),Societe Algerienne de Realisation de Projets Industriels (SARPI),NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Sonatrach SpA,Algerian Energy Company,Algerian Energy Company,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,Sonatrach SpA,New Energy Algeria (NEAL),New Energy Algeria(NEAL),"0,5",Subsidiary,"Refinitiv; https://www.africaintelligence.com/north-africa/2022/02/18/still-no-light-at-end-of-tunnel-for-1000-mw-solar-project,109735050-art",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Tokyo Gas Co Ltd,Chiba Offshore Wind Inc,Chiba,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,Tokyo Gas Co Ltd,SIRC Co Ltd,SIRC,NA,Subsidiary,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
